               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.023003,           0.0078193,                   0,             0.93994,             0.90292,             0.90122,               0.491,            0.023031,           0.0036487,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.022637,           0.0085652,                   0,             0.93846,             0.87993,             0.88934,             0.48962,            0.023891,           0.0034537,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.022633,           0.0081875,                   0,             0.93638,             0.86538,             0.88881,             0.48753,            0.024492,           0.0035291,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.021678,           0.0078352,                   0,             0.91967,             0.88077,              0.8663,             0.45767,            0.024174,           0.0036015,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.022188,           0.0076574,                   0,             0.95898,             0.89919,             0.89779,             0.45755,            0.024611,           0.0035356,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.022178,           0.0081278,                   0,             0.93969,             0.89902,             0.89831,             0.46714,            0.024412,           0.0040251,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.021456,           0.0081034,                   0,             0.91917,             0.90385,             0.89885,             0.45793,              0.0246,           0.0040599,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.022367,           0.0079394,                   0,             0.88221,             0.88462,             0.88681,             0.48243,            0.024814,           0.0037474,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.022087,           0.0079617,                   0,             0.86328,             0.90385,             0.90161,             0.47425,            0.025056,           0.0035315,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.021551,            0.007887,                   0,             0.93566,             0.90385,              0.9271,             0.45733,            0.024939,           0.0036885,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.020629,           0.0079572,                   0,              0.9191,             0.90385,              0.9293,             0.49185,            0.023563,           0.0035166,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.020279,           0.0076129,                   0,             0.91923,             0.90385,             0.92639,             0.50179,            0.023253,           0.0035551,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.020828,           0.0078897,                   0,              0.9372,             0.90385,             0.92158,             0.46823,            0.023992,           0.0036676,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.02065,           0.0074845,                   0,             0.90532,             0.91952,             0.92493,             0.46737,             0.02439,           0.0036863,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.020712,             0.00764,                   0,             0.93998,             0.92308,             0.94086,             0.48295,            0.024323,            0.003593,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.02053,           0.0078647,                   0,             0.91368,             0.90385,             0.91253,             0.49463,            0.024025,           0.0036334,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.020812,            0.007948,                   0,             0.92016,             0.90385,             0.91903,             0.48284,            0.023856,            0.003605,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.02006,           0.0075376,                   0,             0.90017,             0.88462,             0.89557,             0.48047,            0.023925,           0.0037157,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.020433,           0.0076458,                   0,              0.9015,             0.88005,             0.88077,              0.4934,            0.023699,           0.0037801,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.019106,           0.0073132,                   0,             0.92152,             0.90325,             0.90238,             0.49412,            0.023222,           0.0036518,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.019647,           0.0077832,                   0,             0.91967,             0.88068,             0.92032,             0.48853,            0.023131,            0.003582,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.019729,           0.0073795,                   0,              0.9011,             0.88462,             0.88994,             0.48521,             0.02352,           0.0034998,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.019546,           0.0072064,                   0,             0.90177,             0.88279,              0.8919,             0.48945,            0.023726,           0.0035607,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.019636,           0.0074151,                   0,             0.90168,             0.88183,             0.88383,             0.46991,             0.02388,           0.0036637,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.01911,           0.0072988,                   0,             0.90347,             0.90001,             0.89863,             0.46579,            0.023675,           0.0037403,                   0,            0.000298,            0.000298,            0.000298
